"","Timing","Event","event_type","H_A","added_time","match_date","event_player","match_id"
"19",76,"FOUL BY DANIEL POWELL (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",0,"05-05-2018","DANIEL POWELL",1
"20",76,"WILFRIED MOIMBÉ (OLDHAM ATHLETIC) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","HOME",0,"05-05-2018","NONE",1
"21",75,"ATTEMPT MISSED. DUCKENS NAZON (OLDHAM ATHLETIC) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT OPPOSITION","HOME",0,"05-05-2018","NONE",1
"22",74,"SUBSTITUTION, OLDHAM ATHLETIC. KUNDAI BENYU REPLACES DAN GARDNER.","SUBSTITUTION OPPOSITION","HOME",0,"05-05-2018","NONE",1
"23",73,"CORNER,  OLDHAM ATHLETIC. CONCEDED BY DAVID BUCHANAN.","CORNER OPPOSITION","HOME",0,"05-05-2018","DAVID BUCHANAN",1
"24",71,"SUBSTITUTION, NORTHAMPTON TOWN. JACK BRIDGE REPLACES SAM FOLEY.","SUBSTITUTION COBBLERS","HOME",0,"05-05-2018","NONE",1
"25",70,"ATTEMPT MISSED. ASH TAYLOR (NORTHAMPTON TOWN) HEADER FROM THE CENTRE OF THE BOX MISSES TO THE RIGHT FOLLOWING A CORNER.","GOAL ATTEMPT COBBLERS","HOME",0,"05-05-2018","ASH TAYLOR",1
"26",70,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY THOMAS HAYMER.","CORNER COBBLERS","HOME",0,"05-05-2018","NONE",1
"27",66,"FOUL BY DANIEL POWELL (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",0,"05-05-2018","DANIEL POWELL",1
"28",66,"ROB HUNT (OLDHAM ATHLETIC) WINS A FREE KICK ON THE RIGHT WING.","FREE KICK OPPOSITION - RIGHT WING","HOME",0,"05-05-2018","NONE",1
"29",65,"ATTEMPT MISSED. CRAIG DAVIES (OLDHAM ATHLETIC) HEADER FROM VERY CLOSE RANGE IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT OPPOSITION","HOME",0,"05-05-2018","NONE",1
"30",61,"JOHN-JOE O'TOOLE (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","JOHN-JOE O'TOOLE",1
"31",61,"FOUL BY DAN GARDNER (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"32",60,"BRENDON MOLONEY (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","BRENDON MOLONEY",1
"33",60,"FOUL BY JACK BYRNE (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"34",57,"SUBSTITUTION, OLDHAM ATHLETIC. CRAIG DAVIES REPLACES GEVARO NEPOMUCENO.","SUBSTITUTION OPPOSITION","HOME",0,"05-05-2018","NONE",1
"35",55,"GOAL!  NORTHAMPTON TOWN 2, OLDHAM ATHLETIC 2. THOMAS HAYMER (OLDHAM ATHLETIC) HEADER FROM THE RIGHT SIDE OF THE BOX TO THE BOTTOM RIGHT CORNER. ASSISTED BY JACK BYRNE FOLLOWING A SET PIECE SITUATION.","GOAL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"36",55,"FOUL BY SAM FOLEY (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",0,"05-05-2018","SAM FOLEY",1
"37",55,"DUCKENS NAZON (OLDHAM ATHLETIC) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","HOME",0,"05-05-2018","NONE",1
"38",53,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY JOHNY PLACIDE.","CORNER COBBLERS","HOME",0,"05-05-2018","NONE",1
"39",53,"ATTEMPT SAVED. MATT GRIMES (NORTHAMPTON TOWN) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX IS SAVED IN THE BOTTOM LEFT CORNER.","GOAL ATTEMPT COBBLERS","HOME",0,"05-05-2018","MATT GRIMES",1
"40",52,"ATTEMPT MISSED. DAN GARDNER (OLDHAM ATHLETIC) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX MISSES TO THE LEFT.","GOAL ATTEMPT OPPOSITION","HOME",0,"05-05-2018","NONE",1
"41",51,"ATTEMPT MISSED. ASH TAYLOR (NORTHAMPTON TOWN) HEADER FROM THE CENTRE OF THE BOX IS CLOSE, BUT MISSES TO THE LEFT.","GOAL ATTEMPT COBBLERS","HOME",0,"05-05-2018","ASH TAYLOR",1
"42",50,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY ROB HUNT.","CORNER COBBLERS","HOME",0,"05-05-2018","NONE",1
"43",49,"DAN GARDNER (OLDHAM ATHLETIC) IS SHOWN THE YELLOW CARD FOR A BAD FOUL.","YELLOW CARD OPPOSITION","HOME",0,"05-05-2018","NONE",1
"44",49,"JOHN-JOE O'TOOLE (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","JOHN-JOE O'TOOLE",1
"45",49,"FOUL BY DAN GARDNER (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"46",48,"MATT GRIMES (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","MATT GRIMES",1
"47",48,"FOUL BY DUCKENS NAZON (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"48",45,"SECOND HALF BEGINS NORTHAMPTON TOWN 2, OLDHAM ATHLETIC 1.","NONE","HOME",0,"05-05-2018","NONE",1
"49",45,"FIRST HALF ENDS, NORTHAMPTON TOWN 2, OLDHAM ATHLETIC 1.","NONE","HOME",5,"05-05-2018","NONE",1
"50",45,"GOAL!  NORTHAMPTON TOWN 2, OLDHAM ATHLETIC 1. ASH TAYLOR (NORTHAMPTON TOWN) RIGHT FOOTED SHOT FROM THE RIGHT SIDE OF THE SIX YARD BOX TO THE BOTTOM LEFT CORNER.","GOAL COBBLERS","HOME",4,"05-05-2018","ASH TAYLOR",1
"51",45,"SAM FOLEY (NORTHAMPTON TOWN) WINS A FREE KICK ON THE RIGHT WING.","FREE KICK COBBLERS","HOME",4,"05-05-2018","SAM FOLEY",1
"52",45,"FOUL BY WILFRIED MOIMBÉ (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",4,"05-05-2018","NONE",1
"53",45,"ASH TAYLOR (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","HOME",4,"05-05-2018","ASH TAYLOR",1
"54",45,"FOUL BY EOIN DOYLE (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",4,"05-05-2018","NONE",1
"55",45,"FOUL BY SHAUN MCWILLIAMS (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",2,"05-05-2018","SHAUN MCWILLIAMS",1
"56",45,"ROB HUNT (OLDHAM ATHLETIC) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","HOME",2,"05-05-2018","NONE",1
"57",45,"CORNER,  OLDHAM ATHLETIC. CONCEDED BY JOHN-JOE O'TOOLE.","CORNER OPPOSITION","HOME",1,"05-05-2018","JOHN-JOE O'TOOLE",1
"58",44,"FOUL BY BRENDON MOLONEY (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",0,"05-05-2018","BRENDON MOLONEY",1
"59",44,"GEVARO NEPOMUCENO (OLDHAM ATHLETIC) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK OPPOSITION - DEFENSIVE HALF","HOME",0,"05-05-2018","NONE",1
"60",42,"GOAL!  NORTHAMPTON TOWN 1, OLDHAM ATHLETIC 1. MATT GRIMES (NORTHAMPTON TOWN) CONVERTS THE PENALTY WITH A LEFT FOOTED SHOT TO THE TOP LEFT CORNER.","GOAL COBBLERS","HOME",0,"05-05-2018","MATT GRIMES",1
"61",41,"PENALTY NORTHAMPTON TOWN. SAM HOSKINS DRAWS A FOUL IN THE PENALTY AREA.","PENALTY COBBLERS","HOME",0,"05-05-2018","NONE",1
"62",41,"PENALTY CONCEDED BY JOHNY PLACIDE (OLDHAM ATHLETIC) AFTER A FOUL IN THE PENALTY AREA.","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"63",38,"ATTEMPT MISSED. EOIN DOYLE (OLDHAM ATHLETIC) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT OPPOSITION","HOME",0,"05-05-2018","NONE",1
"64",36,"SAM HOSKINS (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","SAM HOSKINS",1
"65",36,"FOUL BY DAN GARDNER (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"66",35,"MATT GRIMES (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","MATT GRIMES",1
"67",35,"FOUL BY DAN GARDNER (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"68",34,"SAM HOSKINS (NORTHAMPTON TOWN) WINS A FREE KICK ON THE RIGHT WING.","FREE KICK COBBLERS","HOME",0,"05-05-2018","SAM HOSKINS",1
"69",34,"FOUL BY GEORGE EDMUNDSON (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"70",29,"GOAL!  NORTHAMPTON TOWN 0, OLDHAM ATHLETIC 1. GEORGE EDMUNDSON (OLDHAM ATHLETIC) RIGHT FOOTED SHOT FROM THE CENTRE OF THE BOX TO THE BOTTOM LEFT CORNER. ASSISTED BY DUCKENS NAZON.","GOAL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"71",29,"CORNER,  OLDHAM ATHLETIC. CONCEDED BY LEON BARNETT.","CORNER OPPOSITION","HOME",0,"05-05-2018","LEON BARNETT",1
"72",26,"ATTEMPT SAVED. DUCKENS NAZON (OLDHAM ATHLETIC) RIGHT FOOTED SHOT FROM THE RIGHT SIDE OF THE BOX IS SAVED IN THE BOTTOM RIGHT CORNER.","GOAL ATTEMPT OPPOSITION","HOME",0,"05-05-2018","NONE",1
"73",26,"ATTEMPT MISSED. ASH TAYLOR (NORTHAMPTON TOWN) HEADER FROM THE RIGHT SIDE OF THE BOX IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT COBBLERS","HOME",0,"05-05-2018","ASH TAYLOR",1
"74",25,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY ROB HUNT.","CORNER COBBLERS","HOME",0,"05-05-2018","NONE",1
"75",23,"FOUL BY SAM HOSKINS (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",0,"05-05-2018","SAM HOSKINS",1
"76",23,"(OLDHAM ATHLETIC) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","HOME",0,"05-05-2018","NONE",1
"77",23,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY THOMAS HAYMER.","CORNER COBBLERS","HOME",0,"05-05-2018","NONE",1
"78",22,"FOUL BY GEVARO NEPOMUCENO (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"79",22,"MATT GRIMES (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","MATT GRIMES",1
"80",19,"FOUL BY MATT GRIMES (NORTHAMPTON TOWN).","FOUL COBBLERS","HOME",0,"05-05-2018","MATT GRIMES",1
"81",19,"JACK BYRNE (OLDHAM ATHLETIC) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","HOME",0,"05-05-2018","NONE",1
"82",17,"DAVID BUCHANAN (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","DAVID BUCHANAN",1
"83",17,"FOUL BY DUCKENS NAZON (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"84",16,"ATTEMPT MISSED. EOIN DOYLE (OLDHAM ATHLETIC) HEADER FROM THE CENTRE OF THE BOX IS JUST A BIT TOO HIGH.","GOAL ATTEMPT OPPOSITION","HOME",0,"05-05-2018","NONE",1
"85",15,"CORNER,  OLDHAM ATHLETIC. CONCEDED BY SHAUN MCWILLIAMS.","CORNER OPPOSITION","HOME",0,"05-05-2018","SHAUN MCWILLIAMS",1
"86",13,"SAM FOLEY (NORTHAMPTON TOWN) WINS A FREE KICK ON THE LEFT WING.","FREE KICK COBBLERS","HOME",0,"05-05-2018","SAM FOLEY",1
"87",13,"FOUL BY ROB HUNT (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"88",12,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY GEVARO NEPOMUCENO.","CORNER COBBLERS","HOME",0,"05-05-2018","NONE",1
"89",9,"JOHN-JOE O'TOOLE (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","JOHN-JOE O'TOOLE",1
"90",9,"FOUL BY GEORGE EDMUNDSON (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"91",4,"LEON BARNETT (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","LEON BARNETT",1
"92",4,"FOUL BY DUCKENS NAZON (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"93",2,"CORNER,  OLDHAM ATHLETIC. CONCEDED BY BRENDON MOLONEY.","CORNER OPPOSITION","HOME",0,"05-05-2018","BRENDON MOLONEY",1
"94",1,"SAM FOLEY (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","HOME",0,"05-05-2018","SAM FOLEY",1
"95",1,"FOUL BY BEN PRINGLE (OLDHAM ATHLETIC).","FOUL OPPOSITION","HOME",0,"05-05-2018","NONE",1
"96",0,"FIRST HALF BEGINS.","NONE","HOME",0,"05-05-2018","NONE",1
"97",NA,"LINEUPS ARE ANNOUNCED AND PLAYERS ARE WARMING UP.","NONE","HOME",0,"05-05-2018","NONE",1
"98",0,"MATCH ENDS, WALSALL 1, NORTHAMPTON TOWN 0.","NONE","AWAY",0,"28-04-2018","NONE",2
"99",90,"SECOND HALF ENDS, WALSALL 1, NORTHAMPTON TOWN 0.","NONE","AWAY",7,"28-04-2018","NONE",2
"100",90,"ATTEMPT BLOCKED. MATT GRIMES (NORTHAMPTON TOWN) LEFT FOOTED SHOT FROM OUTSIDE THE BOX IS BLOCKED.","GOAL ATTEMPT COBBLERS","AWAY",4,"28-04-2018","MATT GRIMES",2
"101",90,"SUBSTITUTION, WALSALL. FLORENT CUVELIER REPLACES ERHUN OZTUMER BECAUSE OF AN INJURY.","SUBSTITUTION OPPOSITION","AWAY",3,"28-04-2018","NONE",2
"102",90,"GEORGE DOBSON (WALSALL) IS SHOWN THE YELLOW CARD FOR EXCESSIVE CELEBRATION.","YELLOW CARD OPPOSITION","AWAY",1,"28-04-2018","NONE",2
"103",90,"GOAL!  WALSALL 1, NORTHAMPTON TOWN 0. GEORGE DOBSON (WALSALL) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX TO THE BOTTOM RIGHT CORNER. ASSISTED BY AMADOU BAKAYOKO.","GOAL OPPOSITION","AWAY",1,"28-04-2018","NONE",2
"104",90,"JACK FITZWATER (WALSALL) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","AWAY",0,"28-04-2018","NONE",2
"105",90,"FOUL BY JOHN-JOE O'TOOLE (NORTHAMPTON TOWN).","FOUL COBBLERS","AWAY",0,"28-04-2018","JOHN-JOE O'TOOLE",2
"106",89,"DAVID BUCHANAN (NORTHAMPTON TOWN) WINS A FREE KICK ON THE RIGHT WING.","FREE KICK COBBLERS","AWAY",0,"28-04-2018","DAVID BUCHANAN",2
"107",89,"FOUL BY NICKY DEVLIN (WALSALL).","FOUL OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"108",89,"ATTEMPT MISSED. LEON BARNETT (NORTHAMPTON TOWN) HEADER FROM THE CENTRE OF THE BOX IS CLOSE, BUT MISSES TO THE LEFT FOLLOWING A SET PIECE SITUATION.","GOAL ATTEMPT COBBLERS","AWAY",0,"28-04-2018","LEON BARNETT",2
"109",88,"KEVIN VAN VEEN (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","AWAY",0,"28-04-2018","KEVIN VAN VEEN",2
"110",88,"FOUL BY JACK FITZWATER (WALSALL).","FOUL OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"111",85,"ATTEMPT MISSED. NICKY DEVLIN (WALSALL) HEADER FROM THE CENTRE OF THE BOX IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"112",85,"(NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","AWAY",0,"28-04-2018","NONE",2
"113",85,"FOUL BY AMADOU BAKAYOKO (WALSALL).","FOUL OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"114",84,"CORNER,  WALSALL. CONCEDED BY LEON BARNETT.","CORNER OPPOSITION","AWAY",0,"28-04-2018","LEON BARNETT",2
"115",82,"ATTEMPT MISSED. ERHUN OZTUMER (WALSALL) LEFT FOOTED SHOT FROM OUTSIDE THE BOX IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"116",80,"JOHN-JOE O'TOOLE (NORTHAMPTON TOWN) IS SHOWN THE YELLOW CARD.","YELLOW CARD COBBLERS","AWAY",0,"28-04-2018","JOHN-JOE O'TOOLE",2
"117",80,"ERHUN OZTUMER (WALSALL) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","AWAY",0,"28-04-2018","NONE",2
"118",80,"FOUL BY JOHN-JOE O'TOOLE (NORTHAMPTON TOWN).","FOUL COBBLERS","AWAY",0,"28-04-2018","JOHN-JOE O'TOOLE",2
"119",78,"SUBSTITUTION, NORTHAMPTON TOWN. CHRIS LONG REPLACES SHAUN MCWILLIAMS.","SUBSTITUTION COBBLERS","AWAY",0,"28-04-2018","NONE",2
"120",78,"SUBSTITUTION, NORTHAMPTON TOWN. KEVIN VAN VEEN REPLACES MATT CROOKS.","SUBSTITUTION COBBLERS","AWAY",0,"28-04-2018","NONE",2
"121",76,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY KORY ROBERTS.","CORNER COBBLERS","AWAY",0,"28-04-2018","NONE",2
"122",73,"ASH TAYLOR (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","AWAY",0,"28-04-2018","ASH TAYLOR",2
"123",73,"FOUL BY AMADOU BAKAYOKO (WALSALL).","FOUL OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"124",73,"(WALSALL) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK OPPOSITION - ATTACKING HALF","AWAY",0,"28-04-2018","NONE",2
"125",73,"FOUL BY LEON BARNETT (NORTHAMPTON TOWN).","FOUL COBBLERS","AWAY",0,"28-04-2018","LEON BARNETT",2
"126",72,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY LUKE LEAHY.","CORNER COBBLERS","AWAY",0,"28-04-2018","NONE",2
"127",72,"ATTEMPT MISSED. KORY ROBERTS (WALSALL) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX MISSES TO THE LEFT.","GOAL ATTEMPT OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"128",71,"FOUL BY SAM HOSKINS (NORTHAMPTON TOWN).","FOUL COBBLERS","AWAY",0,"28-04-2018","SAM HOSKINS",2
"129",71,"JON GUTHRIE (WALSALL) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK OPPOSITION - DEFENSIVE HALF","AWAY",0,"28-04-2018","NONE",2
"130",70,"JOHN-JOE O'TOOLE (NORTHAMPTON TOWN) WINS A FREE KICK IN THE ATTACKING HALF.","FREE KICK COBBLERS","AWAY",0,"28-04-2018","JOHN-JOE O'TOOLE",2
"131",70,"FOUL BY ADAM CHAMBERS (WALSALL).","FOUL OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"132",69,"ATTEMPT BLOCKED. KIERON MORRIS (WALSALL) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX IS BLOCKED.","GOAL ATTEMPT OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"133",65,"ATTEMPT BLOCKED. DANIEL POWELL (NORTHAMPTON TOWN) RIGHT FOOTED SHOT FROM OUTSIDE THE BOX IS BLOCKED.","GOAL ATTEMPT COBBLERS","AWAY",0,"28-04-2018","DANIEL POWELL",2
"134",64,"FOUL BY JACK FITZWATER (WALSALL).","FOUL OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"135",64,"DAVID BUCHANAN (NORTHAMPTON TOWN) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK COBBLERS","AWAY",0,"28-04-2018","DAVID BUCHANAN",2
"136",62,"LEON BARNETT (NORTHAMPTON TOWN) IS SHOWN THE YELLOW CARD FOR A BAD FOUL.","YELLOW CARD COBBLERS","AWAY",0,"28-04-2018","LEON BARNETT",2
"137",62,"FOUL BY LEON BARNETT (NORTHAMPTON TOWN).","FOUL COBBLERS","AWAY",0,"28-04-2018","LEON BARNETT",2
"138",62,"ERHUN OZTUMER (WALSALL) WINS A FREE KICK IN THE DEFENSIVE HALF.","FREE KICK OPPOSITION - DEFENSIVE HALF","AWAY",0,"28-04-2018","NONE",2
"139",58,"NICKY DEVLIN (WALSALL) WINS A FREE KICK ON THE LEFT WING.","FREE KICK OPPOSITION - LEFT WING","AWAY",0,"28-04-2018","NONE",2
"140",58,"FOUL BY SAM HOSKINS (NORTHAMPTON TOWN).","FOUL COBBLERS","AWAY",0,"28-04-2018","SAM HOSKINS",2
"141",57,"ATTEMPT SAVED. NICKY DEVLIN (WALSALL) RIGHT FOOTED SHOT FROM THE CENTRE OF THE BOX IS SAVED IN THE CENTRE OF THE GOAL.","GOAL ATTEMPT OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"142",56,"ATTEMPT MISSED. ERHUN OZTUMER (WALSALL) RIGHT FOOTED SHOT FROM THE LEFT SIDE OF THE SIX YARD BOX IS CLOSE, BUT MISSES TO THE RIGHT.","GOAL ATTEMPT OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"143",56,"CORNER,  NORTHAMPTON TOWN. CONCEDED BY JON GUTHRIE.","CORNER COBBLERS","AWAY",0,"28-04-2018","NONE",2
"144",51,"ATTEMPT MISSED. MATT CROOKS (NORTHAMPTON TOWN) LEFT FOOTED SHOT FROM THE CENTRE OF THE BOX IS JUST A BIT TOO HIGH.","GOAL ATTEMPT COBBLERS","AWAY",0,"28-04-2018","MATT CROOKS",2
"145",50,"DELAY OVER. THEY ARE READY TO CONTINUE.","NONE","AWAY",0,"28-04-2018","NONE",2
"146",49,"DELAY IN MATCH AMADOU BAKAYOKO (WALSALL) BECAUSE OF AN INJURY.","INJURY OPPOSITION","AWAY",0,"28-04-2018","NONE",2
"147",48,"ERHUN OZTUMER (WALSALL) IS SHOWN THE YELLOW CARD FOR A BAD FOUL.","YELLOW CARD OPPOSITION","AWAY",0,"28-04-2018","NONE",2
